,Measure,Ethnicity,Ethnicity_type,Time,Time_type,Geography,Geography_type,Gender,Age Bracket,NS SEC,Physical Activity Level,Value,Value_type,Denominator (weighted),Numerator (weighted),Upper CI,Lower CI,Number of Respondents (unweighted)
0,Percentage of people at each activity level,All,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,16+,All,Physically inactive,25.6,%,196180,50168,25.90%,25.30%,198911
1,Percentage of people at each activity level,White British,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,16+,All,Physically inactive,24.9,%,154220,38445,25.20%,24.60%,167292
2,Percentage of people at each activity level,White Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,16+,All,Physically inactive,22.9,%,10590,2430,24.30%,21.70%,9898
3,Percentage of people at each activity level,Asian,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,16+,All,Physically inactive,30.6,%,13828,4233,32.10%,29.10%,7984
4,Percentage of people at each activity level,Black,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,16+,All,Physically inactive,28.7,%,4613,1323,31.20%,26.30%,2910
5,Percentage of people at each activity level,Chinese,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,16+,All,Physically inactive,30.8,%,1429,440,35.20%,26.70%,1057
6,Percentage of people at each activity level,Mixed,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,16+,All,Physically inactive,18.9,%,2986,565,21.60%,16.50%,1982
7,Percentage of people at each activity level,Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,16+,All,Physically inactive,29.9,%,2332,697,33.40%,26.60%,1500
8,Percentage of people at each activity level,All,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,Male,16+,All,Physically inactive,24.2,%,95502,23106,24.60%,23.80%,87607
9,Percentage of people at each activity level,White British,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,Male,16+,All,Physically inactive,23.6,%,74297,17530,24.10%,23.10%,73864
10,Percentage of people at each activity level,White Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,Male,16+,All,Physically inactive,22.9,%,5060,1161,25.00%,21.00%,3988
11,Percentage of people at each activity level,Asian,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,Male,16+,All,Physically inactive,27.6,%,7600,2094,29.80%,25.40%,3787
12,Percentage of people at each activity level,Black,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,Male,16+,All,Physically inactive,26.6,%,2152,572,30.70%,22.80%,1149
13,Percentage of people at each activity level,Chinese,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,Male,16+,All,Physically inactive,28.6,%,700,200,34.70%,23.20%,437
14,Percentage of people at each activity level,Mixed,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,Male,16+,All,Physically inactive,17.8,%,1389,247,21.80%,14.30%,771
15,Percentage of people at each activity level,Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,Male,16+,All,Physically inactive,28.8,%,1182,341,34.00%,24.10%,664
16,Percentage of people at each activity level,All,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,Female,16+,All,Physically inactive,26.7,%,100211,26775,27.10%,26.30%,110847
17,Percentage of people at each activity level,White British,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,Female,16+,All,Physically inactive,26,%,79620,20733,26.50%,25.60%,93117
18,Percentage of people at each activity level,White Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,Female,16+,All,Physically inactive,22.9,%,5524,1267,24.60%,21.30%,5903
19,Percentage of people at each activity level,Asian,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,Female,16+,All,Physically inactive,34.2,%,6213,2127,36.30%,32.20%,4183
20,Percentage of people at each activity level,Black,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,Female,16+,All,Physically inactive,30.4,%,2452,745,33.50%,27.40%,1750
21,Percentage of people at each activity level,Chinese,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,Female,16+,All,Physically inactive,32.6,%,725,237,39.00%,26.80%,617
22,Percentage of people at each activity level,Mixed,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,Female,16+,All,Physically inactive,19.8,%,1591,315,23.50%,16.60%,1207
23,Percentage of people at each activity level,Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,Female,16+,All,Physically inactive,31,%,1147,356,36.00%,26.50%,835
24,Percentage of people at each activity level,All,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,East Midlands,Region,All,16+,All,Physically inactive,26.4,%,16865,4448,27.20%,25.60%,22543
25,Percentage of people at each activity level,White British,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,East Midlands,Region,All,16+,All,Physically inactive,25.7,%,14182,3642,26.50%,24.80%,19725
26,Percentage of people at each activity level,White Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,East Midlands,Region,All,16+,All,Physically inactive,29.3,%,724,212,34.60%,24.50%,784
27,Percentage of people at each activity level,Asian,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,East Midlands,Region,All,16+,All,Physically inactive,28.9,%,938,271,33.30%,24.90%,828
28,Percentage of people at each activity level,Black,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,East Midlands,Region,All,16+,All,Physically inactive,25.3,%,188,48,35.80%,17.10%,205
29,Percentage of people at each activity level,Chinese,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,East Midlands,Region,All,16+,All,Physically inactive,?,%,?,40,52.00%,22.40%,85
30,Percentage of people at each activity level,Mixed,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,East Midlands,Region,All,16+,All,Physically inactive,?,%,?,26,23.30%,9.00%,174
31,Percentage of people at each activity level,Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,East Midlands,Region,All,16+,All,Physically inactive,27,%,90,24,39.70%,17.30%,112
32,Percentage of people at each activity level,All,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,East,Region,All,16+,All,Physically inactive,25.3,%,21749,5500,26.10%,24.50%,26006
33,Percentage of people at each activity level,White British,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,East,Region,All,16+,All,Physically inactive,25.1,%,18150,4556,25.90%,24.30%,22222
34,Percentage of people at each activity level,White Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,East,Region,All,16+,All,Physically inactive,27.4,%,1209,331,31.20%,24.00%,1431
